"","graph.type","measure","average","std.dev"
"303","random","clustering",0.0158460587032016,0.0507933998715139
"304","random","clustering",0.0251962323390895,0.0839659029392009
"305","random","clustering",0.0429239766081871,0.0784173969353482
"306","random","clustering",0.0455582093513128,0.123607217319223
"307","random","clustering",0.0299430641821946,0.0635595210350612
"308","random","clustering",0.0142515787677078,0.0454847070136766
"309","random","clustering",0.0139594356261023,0.0457230435272158
"310","random","clustering",0.0266598395630654,0.0650769702549594
"311","random","clustering",0.0537293053422086,0.126117578207182
"312","random","clustering",0.0607697559310462,0.136713186384261
"313","random","clustering",0.0346531121812021,0.0711629202900408
"314","random","clustering",0.00941987906273621,0.0427984517984453
"315","random","clustering",0.0350894967916245,0.0970102287864824
"316","random","clustering",0.0463272543059777,0.118037931580527
"317","random","clustering",0.0530817291455589,0.154410099714997
"318","random","clustering",0.0141549953314659,0.0405795900138816
"319","random","clustering",0.082705389848247,0.19297336176716
"320","random","clustering",0.0496016714766715,0.155847977423182
"321","random","clustering",0.0379382522239665,0.0690231077923482
"322","random","clustering",0.0420388122515782,0.0778232000385741
"323","random","clustering",0.0372398589065256,0.0764963270437588
"324","random","clustering",0.0431781701444623,0.103859746362367
"325","random","clustering",0.0216378859236002,0.0584233172193829
"326","random","clustering",0.04004329004329,0.158639086676431
"327","random","clustering",0.0606206527554842,0.129677012711268
"328","random","clustering",0.0382960413080895,0.0898506747037274
"329","random","clustering",0.019064505234718,0.0576496766608096
"330","random","clustering",0.0501940035273369,0.128755991990565
"331","random","clustering",0.05189452124936,0.0845042480578494
"332","random","clustering",0.0453042328042328,0.133260756249852
"333","random","clustering",0.0185215946843854,0.0575943891987084
"334","random","clustering",0.0409243697478992,0.0773947065182762
"335","random","clustering",0.0228535353535354,0.109539750068256
"336","random","clustering",0.0239665096807954,0.059252080510499
"337","random","clustering",0.0416666666666667,0.0720129091951506
"338","random","clustering",0.0272632129774987,0.0709394751732159
"339","random","clustering",0.0629659354378456,0.136405647679732
"340","random","clustering",0.0222574955908289,0.0541445978964383
"341","random","clustering",0.0579545454545455,0.162068747301266
"342","random","clustering",0.0539768806073154,0.092302307178454
"343","random","clustering",0.054623878536922,0.145890267388316
"344","random","clustering",0.0454407294832827,0.157246692054066
"345","random","clustering",0.0280797101449275,0.0651587500652011
"346","random","clustering",0.0337342497136312,0.0751011466292729
"347","random","clustering",0.0449958228905597,0.116736377388798
"348","random","clustering",0.0598465027036456,0.137394937122819
"349","random","clustering",0.0593454610308543,0.0916075964551777
"350","random","clustering",0.0478347135955832,0.139647654694146
"351","random","clustering",0.0391710758377425,0.0829895847112638
"352","random","clustering",0.0218514936600043,0.0551365382938921
"353","random","clustering",0.0427985209235209,0.0856541653411226
"354","random","clustering",0.0395406445406445,0.124295770196936
"355","random","clustering",0.0416137566137566,0.0884196487677117
"356","random","clustering",0.051701399375818,0.1596495863348
"357","random","clustering",0.054320987654321,0.125720207505412
"358","random","clustering",0.0135480859010271,0.0386718976336059
"359","random","clustering",0.0345149911816579,0.115169472323968
"360","random","clustering",0.0419610855094726,0.0941512073043509
"361","random","clustering",0.051533797039415,0.127786280770341
"362","random","clustering",0.0451205173427396,0.164763659075932
"363","random","clustering",0.0327447833065811,0.113923420667127
"364","random","clustering",0.0470625798212005,0.0914121793577126
"365","random","clustering",0.0487796552312681,0.121309463089471
"366","random","clustering",0.0325915657376332,0.116594305021201
"367","random","clustering",0.0345074808232703,0.0590173725655402
"368","random","clustering",0.0378648233486943,0.122512135693691
"369","random","clustering",0.0376623376623377,0.116741782797248
"370","random","clustering",0.0654940381256171,0.165854006210914
"371","random","clustering",0.0341440518859874,0.0874495247667498
"372","random","clustering",0.0327513227513228,0.0673683843622988
"373","random","clustering",0.0276083467094703,0.0800180991665539
"374","random","clustering",0.0294988407347958,0.0724936857007339
"375","random","clustering",0.0523134076325566,0.124504651398299
"376","random","clustering",0.0793821471240826,0.186231347797976
"377","random","clustering",0.0383567821067821,0.120768005887045
"378","random","clustering",0.0254355400696864,0.0574663560615985
"379","random","clustering",0.033694885361552,0.119785665427524
"380","random","clustering",0.0329775588396278,0.0661291101717049
"381","random","clustering",0.0212991718426501,0.0574194901436002
"382","random","clustering",0.0492709486895533,0.0931686313249881
"383","random","clustering",0.0331014802924915,0.0793716810247838
"384","random","clustering",0.0172596241561759,0.0559872509789959
"385","random","clustering",0.0389579020013803,0.0876281613767646
"386","random","clustering",0.0287319422150883,0.0774664843249813
"387","random","clustering",0.0531653746770026,0.174602856046991
"388","random","clustering",0.0747582557927386,0.141420985373185
"389","random","clustering",0.0490421455938697,0.0997653602811254
"390","random","clustering",0.0271911663216011,0.0690255983745399
"391","random","clustering",0.0215790120045439,0.0575643280226733
"392","random","clustering",0.0186958874458874,0.0509910893648184
"393","random","clustering",0.0469802555168409,0.089177417198871
"394","random","clustering",0.0397577276524645,0.0820675545839239
"395","random","clustering",0.0192307692307692,0.0607464182728865
"396","random","clustering",0.0328639699607442,0.0773634968685205
"397","random","clustering",0.0465493443754313,0.0922344115228862
"398","random","clustering",0.00280112044817927,0.0187914192505827
"399","random","clustering",0.0562532705389848,0.174739278169004
"400","random","clustering",0.0505813953488372,0.129208885584469
"401","rank.random","degree",0.0404040404040404,0.0142126559733626
"402","rank.random","degree",0.0404040404040404,0.0129212555367037
"403","rank.random","degree",0.0404040404040404,0.0151259860429824
"404","rank.random","degree",0.0404040404040404,0.0126797154436535
"405","rank.random","degree",0.0404040404040404,0.0115749436187261
"406","rank.random","degree",0.0404040404040404,0.0135443201039716
"407","rank.random","degree",0.0404040404040404,0.0135443201039716
"408","rank.random","degree",0.0404040404040404,0.0142849854785161
"409","rank.random","degree",0.0404040404040404,0.0140668812893493
"410","rank.random","degree",0.0404040404040404,0.0139195800439572
"411","rank.random","degree",0.0404040404040404,0.0151259860429824
"412","rank.random","degree",0.0404040404040404,0.0139934244881083
"413","rank.random","degree",0.0404040404040404,0.0161156370751003
"414","rank.random","degree",0.0404040404040404,0.0134680134680135
"415","rank.random","degree",0.0404040404040404,0.0140668812893493
"416","rank.random","degree",0.0404040404040404,0.0147813853292313
"417","rank.random","degree",0.0404040404040404,0.013236454429409
"418","rank.random","degree",0.0404040404040404,0.0142849854785161
"419","rank.random","degree",0.0404040404040404,0.0146412742492824
"420","rank.random","degree",0.0404040404040404,0.0141399564890739
"421","rank.random","degree",0.0404040404040404,0.0144285567791768
"422","rank.random","degree",0.0404040404040404,0.0163694422493063
"423","rank.random","degree",0.0404040404040404,0.0147114965909984
"424","rank.random","degree",0.0404040404040404,0.0122665839666446
"425","rank.random","degree",0.0404040404040404,0.0127607368140042
"426","rank.random","degree",0.0404040404040404,0.0139195800439572
"427","rank.random","degree",0.0404040404040404,0.013236454429409
"428","rank.random","degree",0.0404040404040404,0.0142126559733626
"429","rank.random","degree",0.0404040404040404,0.0125981730194409
"430","rank.random","degree",0.0404040404040404,0.0127607368140042
"431","rank.random","degree",0.0404040404040404,0.0139195800439572
"432","rank.random","degree",0.0404040404040404,0.0155294164603193
"433","rank.random","degree",0.0404040404040404,0.013236454429409
"434","rank.random","degree",0.0404040404040404,0.0152616478265294
"435","rank.random","degree",0.0404040404040404,0.0164322810302657
"436","rank.random","degree",0.0404040404040404,0.0139934244881083
"437","rank.random","degree",0.0404040404040404,0.0139195800439572
"438","rank.random","degree",0.0404040404040404,0.0141399564890739
"439","rank.random","degree",0.0404040404040404,0.0126797154436535
"440","rank.random","degree",0.0404040404040404,0.0139934244881083
"441","rank.random","degree",0.0404040404040404,0.0127607368140042
"442","rank.random","degree",0.0404040404040404,0.0153961142821663
"443","rank.random","degree",0.0404040404040404,0.0147114965909984
"444","rank.random","degree",0.0404040404040404,0.0140668812893493
"445","rank.random","degree",0.0404040404040404,0.0155294164603193
"446","rank.random","degree",0.0404040404040404,0.0147114965909984
"447","rank.random","degree",0.0404040404040404,0.0125160993573681
"448","rank.random","degree",0.0404040404040404,0.0139934244881083
"449","rank.random","degree",0.0404040404040404,0.0137707032497117
"450","rank.random","degree",0.0404040404040404,0.0133140882589113
"451","rank.random","degree",0.0404040404040404,0.0151259860429824
"452","rank.random","degree",0.0404040404040404,0.0129212555367037
"453","rank.random","degree",0.0404040404040404,0.0140668812893493
"454","rank.random","degree",0.0404040404040404,0.014499809344753
"455","rank.random","degree",0.0404040404040404,0.0134680134680135
"456","rank.random","degree",0.0404040404040404,0.0140668812893493
"457","rank.random","degree",0.0404040404040404,0.0141399564890739
"458","rank.random","degree",0.0404040404040404,0.0137707032497117
"459","rank.random","degree",0.0404040404040404,0.015462909017833
"460","rank.random","degree",0.0404040404040404,0.0169873730339903
"461","rank.random","degree",0.0404040404040404,0.0136201992416817
"462","rank.random","degree",0.0404040404040404,0.0127607368140042
"463","rank.random","degree",0.0404040404040404,0.0151259860429824
"464","rank.random","degree",0.0404040404040404,0.0129212555367037
"465","rank.random","degree",0.0404040404040404,0.0144285567791768
"466","rank.random","degree",0.0404040404040404,0.0126797154436535
"467","rank.random","degree",0.0404040404040404,0.0133140882589113
"468","rank.random","degree",0.0404040404040404,0.0147813853292313
"469","rank.random","degree",0.0404040404040404,0.0145707134807614
"470","rank.random","degree",0.0404040404040404,0.0138453417543907
"471","rank.random","degree",0.0404040404040404,0.013236454429409
"472","rank.random","degree",0.0404040404040404,0.0135443201039716
"473","rank.random","degree",0.0404040404040404,0.0130007717059047
"474","rank.random","degree",0.0404040404040404,0.0130007717059047
"475","rank.random","degree",0.0404040404040404,0.0151939683452597
"476","rank.random","degree",0.0404040404040404,0.0142126559733626
"477","rank.random","degree",0.0404040404040404,0.0146412742492824
"478","rank.random","degree",0.0404040404040404,0.0159872235778397
"479","rank.random","degree",0.0404040404040404,0.0151259860429824
"480","rank.random","degree",0.0404040404040404,0.0151259860429824
"481","rank.random","degree",0.0404040404040404,0.0142126559733626
"482","rank.random","degree",0.0404040404040404,0.0131583625712915
"483","rank.random","degree",0.0404040404040404,0.0149890964759049
"484","rank.random","degree",0.0404040404040404,0.0139195800439572
"485","rank.random","degree",0.0404040404040404,0.0139195800439572
"486","rank.random","degree",0.0404040404040404,0.0133912720258508
"487","rank.random","degree",0.0404040404040404,0.0155956402851019
"488","rank.random","degree",0.0404040404040404,0.0139195800439572
"489","rank.random","degree",0.0404040404040404,0.0148509451738086
"490","rank.random","degree",0.0404040404040404,0.0137707032497117
